frame,time_sec,raw_person_count,eval_person_count,global_alert,zone_alert,num_zones_alerting,inference_ms
331,11.044,9,9,1,1,2,22.803
332,11.078,9,9,1,1,2,22.298
333,11.111,8,8,1,1,1,22.447
334,11.144,8,8,1,1,1,22.351
335,11.178,9,9,1,1,2,22.723
336,11.211,10,10,1,1,3,22.445
337,11.245,10,10,1,1,3,22.217
338,11.278,10,10,1,1,3,22.459
339,11.311,10,10,1,1,3,22.795
340,11.345,10,10,1,1,3,22.633
341,11.378,9,9,1,1,2,22.27
342,11.411,11,11,1,1,3,22.343
343,11.445,10,10,1,1,3,22.574
344,11.478,9,9,1,1,2,22.192
345,11.511,10,10,1,1,3,22.469
346,11.545,10,10,1,1,3,22.061
347,11.578,9,9,1,1,2,22.487
348,11.612,8,8,1,1,1,22.386
349,11.645,9,9,1,1,2,22.633
350,11.678,9,9,1,1,2,22.198
351,11.712,10,10,1,1,2,22.47
352,11.745,9,9,1,1,2,22.635
353,11.778,8,8,1,0,0,22.456
354,11.812,8,8,1,1,1,22.552
355,11.845,11,11,1,1,3,22.94
356,11.879,11,11,1,1,3,22.484
357,11.912,9,9,1,1,1,22.542
358,11.945,10,10,1,1,2,22.44
359,11.979,11,11,1,1,3,22.762
360,12.012,10,10,1,1,2,22.704
361,12.045,9,9,1,1,1,22.833
362,12.079,10,10,1,1,2,23.094
363,12.112,9,9,1,1,1,23.011
364,12.145,10,10,1,1,2,22.751
365,12.179,11,11,1,1,2,22.409
366,12.212,10,10,1,1,2,22.537
367,12.246,12,12,1,1,3,22.901
368,12.279,11,11,1,1,2,22.563
369,12.312,12,12,1,1,3,22.955
370,12.346,12,12,1,1,3,22.573
371,12.379,10,10,1,1,2,22.587
372,12.412,11,11,1,1,3,22.606
373,12.446,11,11,1,1,3,22.932
374,12.479,11,11,1,1,3,22.956
375,12.513,11,11,1,1,3,22.982
376,12.546,11,11,1,1,3,22.402
377,12.579,11,11,1,1,3,22.76
378,12.613,11,11,1,1,3,22.515
379,12.646,13,13,1,1,3,22.262
380,12.679,12,12,1,1,2,22.002
381,12.713,11,11,1,1,2,22.288
382,12.746,11,11,1,1,2,22.641
383,12.779,10,10,1,1,1,22.184
384,12.813,10,10,1,1,1,21.921
385,12.846,11,11,1,1,2,22.18
386,12.88,11,11,1,1,2,22.464
387,12.913,11,11,1,1,2,22.313
388,12.946,11,11,1,1,2,21.882
389,12.98,11,11,1,1,2,21.88
390,13.013,11,11,1,1,2,22.328
391,13.046,11,11,1,1,2,22.497
