frame,time_sec,raw_person_count,eval_person_count,global_alert,zone_alert,num_zones_alerting,inference_ms
235,7.841,10,9.2,1,1,1,22.553
236,7.875,9,9.2,1,1,2,22.645
237,7.908,9,9.2,1,1,2,22.772
238,7.941,9,9.2,1,1,2,22.086
239,7.975,8,9.0,1,1,2,22.641
240,8.008,8,8.6,1,1,1,22.401
241,8.041,8,8.4,1,1,1,22.805
242,8.075,8,8.2,1,1,1,22.442
243,8.108,8,8.0,1,1,1,22.621
244,8.141,8,8.0,1,1,1,22.898
245,8.175,9,8.2,1,1,1,22.771
246,8.208,9,8.4,1,1,1,22.472
247,8.242,9,8.6,1,1,1,22.516
248,8.275,10,9.0,1,1,2,22.506
249,8.308,10,9.4,1,1,2,22.927
250,8.342,10,9.6,1,1,2,22.517
251,8.375,10,9.8,1,1,2,22.828
252,8.408,10,10.0,1,1,2,22.193
253,8.442,9,9.8,1,1,2,22.779
254,8.475,9,9.6,1,1,2,22.496
255,8.508,9,9.4,1,1,2,22.574
256,8.542,9,9.2,1,1,2,22.441
257,8.575,9,9.0,1,1,2,22.661
258,8.609,10,9.2,1,1,2,28.295
259,8.642,10,9.4,1,1,2,22.867
260,8.675,10,9.6,1,1,2,22.312
261,8.709,10,9.8,1,1,2,22.536
262,8.742,10,10.0,1,1,2,22.368
263,8.775,11,10.2,1,1,2,22.51
264,8.809,12,10.6,1,1,2,22.499
265,8.842,11,10.8,1,1,2,22.872
266,8.876,12,11.2,1,1,2,22.262
267,8.909,12,11.6,1,1,3,22.603
268,8.942,12,11.8,1,1,3,22.929
269,8.976,12,11.8,1,1,3,22.832
270,9.009,12,12.0,1,1,3,22.425
271,9.042,11,11.8,1,1,3,22.348
272,9.076,10,11.4,1,1,2,22.564
273,9.109,12,11.4,1,1,2,22.903
274,9.142,11,11.2,1,1,2,22.846
275,9.176,10,10.8,1,1,2,22.332
276,9.209,10,10.6,1,1,2,22.359
277,9.243,10,10.6,1,1,2,22.847
278,9.276,9,10.0,1,1,2,22.622
279,9.309,12,10.2,1,1,2,22.383
280,9.343,9,10.0,1,1,1,22.411
281,9.376,10,10.0,1,1,1,22.862
282,9.409,8,9.6,1,1,2,22.525
283,9.443,9,9.6,1,1,2,22.602
284,9.476,9,9.0,1,1,2,22.645
285,9.51,11,9.4,1,1,2,22.655
286,9.543,9,9.2,1,1,1,22.608
287,9.576,9,9.4,1,1,2,22.628
288,9.61,9,9.4,1,1,2,22.545
289,9.643,9,9.4,1,1,2,22.823
290,9.676,9,9.0,1,1,1,22.346
291,9.71,11,9.4,1,1,1,22.562
292,9.743,11,9.8,1,1,1,22.381
293,9.776,11,10.2,1,1,1,22.809
294,9.81,11,10.6,1,1,1,22.316
295,9.843,10,10.8,1,1,1,22.011
296,9.877,11,10.8,1,1,1,22.163
297,9.91,12,11.0,1,1,2,22.545
298,9.943,11,11.0,1,1,2,22.548
299,9.977,11,11.0,1,1,2,22.095
300,10.01,11,11.2,1,1,2,22.269
301,10.043,10,11.0,1,1,2,22.613
302,10.077,8,10.2,1,1,2,22.496
303,10.11,9,9.8,1,1,2,22.22
304,10.143,10,9.6,1,1,2,21.998
305,10.177,11,9.6,1,1,2,22.516
306,10.21,11,9.8,1,1,2,22.314
307,10.244,9,10.0,1,1,1,22.78
308,10.277,11,10.4,1,1,1,22.222
309,10.31,12,10.8,1,1,2,22.248
310,10.344,12,11.0,1,1,3,22.337
311,10.377,12,11.2,1,1,3,22.849
312,10.41,11,11.6,1,1,3,22.058
313,10.444,10,11.4,1,1,2,22.293
314,10.477,11,11.2,1,1,2,22.55
315,10.511,11,11.0,1,1,2,22.52
316,10.544,11,10.8,1,1,1,22.309
317,10.577,12,11.0,1,1,1,22.219
318,10.611,13,11.6,1,1,2,22.102
319,10.644,13,12.0,1,1,3,22.769
320,10.677,13,12.4,1,1,3,22.142
321,10.711,13,12.8,1,1,3,22.309
322,10.744,12,12.8,1,1,3,22.534
323,10.777,14,13.0,1,1,3,22.57
324,10.811,13,13.0,1,1,3,22.362
325,10.844,13,13.0,1,1,3,22.288
326,10.878,13,13.0,1,1,3,21.997
327,10.911,11,12.8,1,1,2,22.51
328,10.944,11,12.2,1,1,2,22.062
329,10.978,9,11.4,1,1,2,22.228
330,11.011,8,10.4,1,1,2,22.474
331,11.044,9,9.6,1,1,2,22.737
332,11.078,9,9.2,1,1,2,22.494
333,11.111,8,8.6,1,1,1,22.565
334,11.144,8,8.4,1,1,1,22.751
335,11.178,9,8.6,1,1,1,22.511
336,11.211,10,8.8,1,1,1,22.659
337,11.245,10,9.0,1,1,1,22.452
338,11.278,10,9.4,1,1,1,22.839
339,11.311,10,9.8,1,1,2,22.425
340,11.345,10,10.0,1,1,3,22.448
341,11.378,9,9.8,1,1,2,22.665
342,11.411,11,10.0,1,1,3,22.785
343,11.445,10,10.0,1,1,3,22.949
344,11.478,9,9.8,1,1,2,22.409
345,11.511,10,9.8,1,1,2,22.698
